nodeID;Name;Cat 1 ID;Cat 2 ID;Cat 3 ID;Cat 4 ID;COUNTRY;Country ID
9281;Opatija (Croatia) ;143;155;169;171;Croatia;183
9282;Tree top trail - Bavarian Forest (Germany) ;175;177;161;151;Germany;191
9283;Island Krk (Croatia) ;169;159;169;171;Croatia;183
9284;Island Brac (Croatia) ;169;159;169;171;Croatia;183
9285;Island Hvar (Croatia) ;169;171;169;159;Croatia;183
9286;Island Pag (Croatia) ;169;171;169;159;Croatia;183
9287;Korcula Island (Croatia) ;169;171;169;159;Croatia;183
9288;Lake Vrana (Croatia) ;161;139;161;163;Croatia;183
9289;Kromeriz (Czechia) ;130;;143;155;Czechia;181
9278;Trogir (Croatia) ;143;155;169;171;Croatia;183
9277;Kopački Rit Nature Reserve (Croatia) ;161;163;161;139;Croatia;183
9276;Pula (Croatia) ;169;171;143;155;Croatia;183
9267;Krka National Park (Croatia) ;161;163;161;173;Croatia;183
9268;Marineland Marineland and AquaSplash (France) ;175;177;175;125;France;187
9269;Asterix Amusement Park (France) ;175;177;;;France;187
9270;Disneyland Paris (France) ;175;177;;;France;187
9271;Risnjak National Park (Croatia) ;161;133;161;137;Croatia;183
9254;Pardubice (Czechia) ;143;155;130;;Czechia;181
9272;Zagreb (Croatia) ;143;155;130;;Croatia;183
9273;Veliki Tabor Castle (Croatia) ;130;;143;135;Croatia;183
9274;Makarska (Croatia) ;169;171;143;155;Croatia;183
9275;Poreč (Croatia) ;143;155;169;171;Croatia;183
9199;Villach (Austria) ;143;155;;;Austria;195
9239;Rabkoland Amusement Park (Poland) ;175;177;;;Poland;193
9238;Mirabilandia Amusement Park (Italy) ;175;177;175;125;Italy;189
9237;Gardaland Amusement Park (Italy) ;175;177;175;125;Italy;189
9236;Holiday park Plopsa (Germany) ;175;177;;;Germany;191
9235;Terra Mitica Benidorm Holiday Park (Spain) ;175;177;;;Spain;199
9190;Ski area Špičák Šumava (Czechia) ;169;153;161;133;Czechia;181
9203;Heiligenblut (Austria) ;143;155;169;153;Austria;195
9204;Spa town Bad Gastein (Austria) ;143;155;175;125;Austria;195
9205;Lienz (Austria) ;143;155;169;153;Austria;195
